threshold,recall,precision,f1,accuracy
0.85,0.5,0.46153846153846156,0.48000000000000004,0.9545454545454546
0.86,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.9545454545454546
0.87,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.9545454545454546
0.88,0.375,0.45,0.4090909090909091,0.9545454545454546
0.89,0.3333333333333333,0.4444444444444444,0.380952380952381,0.9545454545454546
0.9,0.2916666666666667,0.4375,0.35000000000000003,0.9545454545454546
0.91,0.2916666666666667,0.4666666666666667,0.35897435897435903,0.9562937062937062
0.92,0.25,0.46153846153846156,0.32432432432432434,0.9562937062937062
0.93,0.20833333333333334,0.45454545454545453,0.28571428571428575,0.9562937062937062
0.9400000000000001,0.16666666666666666,0.4444444444444444,0.24242424242424243,0.9562937062937062
0.9500000000000001,0.125,0.42857142857142855,0.19354838709677416,0.9562937062937062
0.9600000000000001,0.08333333333333333,0.4,0.13793103448275862,0.9562937062937062
0.97,0.041666666666666664,0.3333333333333333,0.07407407407407407,0.9562937062937062
0.98,0.041666666666666664,0.5,0.07692307692307693,0.958041958041958
0.99,0.0,0.0,0.0,0.958041958041958
